code,korean_label,category
001,특정 감염성 및 기생충성 질환(Certain infectious and parasitic diseases),감염성 및 기생충성 질환
002,콜레라(Cholera),감염성 및 기생충성 질환
003,감염성 및 상세불명 기원의 기타 위장염 및 대장염(Other gastoenteritis and colitis of infectious and unspecified origin),감염성 및 기생충성 질환
004,기타 장 감염성 질환(Other intestinal infectious diseases),감염성 및 기생충성 질환
005,호흡기 결핵(Respiratory tuberculosis),감염성 및 기생충성 질환
006,기타 결핵(Other tuberculosis),감염성 및 기생충성 질환
007,페스트(Plague),감염성 및 기생충성 질환
008,파상풍(Tetanus),감염성 및 기생충성 질환
009,디프테리아(Diphtheria),감염성 및 기생충성 질환
010,백일해(Whooping cough),감염성 및 기생충성 질환
011,수막구균 감염(Meningococcal infection),감염성 및 기생충성 질환
012,패혈증(Septicaemia),감염성 및 기생충성 질환
013,주로 성행위로 전파되는 감염(Infections with a predominantly sexual mode of transmission),감염성 및 기생충성 질환
014,급성 회색질척수염(Acute poliomyelitis),감염성 및 기생충성 질환
015,광견병(Rabies),감염성 및 기생충성 질환
016,황열(Yellow fever),감염성 및 기생충성 질환
017,기타 절지동물 매개의 바이러스열 및 바이러스 출혈열(Other arthropod-borne viral fevers and viral haemorrhagic fevers),감염성 및 기생충성 질환
018,홍역(Measles),감염성 및 기생충성 질환
019,바이러스 간염(Viral hepatitis),감염성 및 기생충성 질환
020,인체면역결핍바이러스병(Human immunodeficiency virus[HIV] disease),감염성 및 기생충성 질환
021,말라리아(Malaria),감염성 및 기생충성 질환
022,리슈만편모충증(Leishmaniasis),감염성 및 기생충성 질환
023,파동편모충증(Trypanosomiasis),감염성 및 기생충성 질환
024,주혈흡충증(Schistosomiasis),감염성 및 기생충성 질환
025,코로나19(COVID19),감염성 및 기생충성 질환
026,나머지 특정 감염성 및 기생충성 질환(Remainder of certain infectious and parasitic diseases),감염성 및 기생충성 질환
027,신생물(Neoplasms),신생물
028,"입술, 구강 및 인두의 악성신생물(Malignant neoplasms of lip, oral cavity and pharynx)",신생물
029,식도의 악성신생물(Malignant neoplasm of oesophagus),신생물
030,위의 악성신생물(Malignant neoplasm of stomach),신생물
031,"결장, 직장 및 항문의 악성신생물 (Malignant neoplasms of colon, rectum and anus)",신생물
032,간 및 간내 담관의 악성신생물(Malignant neoplasms of liver and intrahepatic bile ducts),신생물
033,췌장의 악성신생물(Malignant neoplasm of pancreas),신생물
034,후두의 악성신생물(Malignant neoplasm of larynx),신생물
035,"기관, 기관지 및 폐의 악성신생물(Malignant neoplasms of trachea, bronchus and lung)",신생물
036,피부의 악성흑색종(Malignant melanoma of skin),신생물
037,유방의 악성신생물(Malignant neoplasm of breast),신생물
038,자궁경부의 악성신생물(Malignant neoplasm of cervix uteri),신생물
039,기타 및 상세불명 자궁부위의 악성신생물(Malignant neoplasms of other and unspecified parts of uterus),신생물
040,난소의 악성신생물(Malignant neoplasm of ovary),신생물
041,전립선의 악성신생물(Malignant neoplasm of prostate),신생물
042,방광의 악성신생물(Malignant neoplasm of bladder),신생물
043,"수막, 뇌 및 기타 중추신경계통의 악성신생물(Malignant neoplasms of meninges, brain and other parts of central nervous system)",신생물
044,비호지킨 림프종(Non-Hodgkin's lymphoma),신생물
045,다발성 골수종 및 악성 형질세포 신생물(Multiple myeloma and malignant plasma cell neoplasms),신생물
046,백혈병(Leukaemia),신생물
047,나머지 악성신생물(Remainder of malignant neoplasms),신생물
048,나머지 신생물(Remainder of neoplasms),신생물
049,혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정 장애(Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),혈액 및 조혈기관 질환
050,빈혈(Anaemias),혈액 및 조혈기관 질환
051,"나머지 혈액, 조혈기관 질환과 면역메커니즘을 침범하는 특정 장애 (Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism)",혈액 및 조혈기관 질환
052,"내분비, 영양 및 대사 질환(Endocrine, nutritional and metabolic diseases)","내분비, 영양 및 대사"
053,당뇨병(Diabetes mellitus),"내분비, 영양 및 대사"
054,영양실조(Malnutrition),"내분비, 영양 및 대사"
055,"나머지 내분비, 영양 및 대사 질환","내분비, 영양 및 대사"
056,정신 및 행동장애(Mental and behavioural disorders),정신 및 행동 장애
057,정신활성물질 사용에 의한 정신 및 행동장애,정신 및 행동 장애
058,나머지 정신 및 행동 장애,정신 및 행동 장애
059,신경계통의 질환(Diseases of the nervous system),신경계통 질환
060,수막염(Meningitis),신경계통 질환
061,알츠하이머병(Alzheimer's disease),신경계통 질환
062,나머지 신경계통 질환,신경계통 질환
063,눈 및 눈부속기의 질환 (Diseases of the eye and adnexa),감각기관 질환
064,귀 및 유돌의 질환 (Diseases of the ear and mastoid process),감각기관 질환
065,순환계통의 질환(Diseases of the circulatory system),순환계통 질환
066,급성 류마티스열 및 만성 류마티스 심장 질환,순환계통 질환
067,고혈압성 질환(Hypertensive diseases),순환계통 질환
068,허혈성 심장 질환(Ischaemic heart diseases),순환계통 질환
069,기타 심장 질환(Other heart diseases),순환계통 질환
070,뇌혈관 질환(Cerebrovascular diseases),순환계통 질환
071,죽상경화증(Atherosclerosis),순환계통 질환
072,나머지 순환계통 질환,순환계통 질환
073,호흡계통의 질환,호흡계통 질환
074,인플루엔자(Influenza),호흡계통 질환
075,폐렴(Pneumonia),호흡계통 질환
076,기타 급성 하기도 감염,호흡계통 질환
077,만성 하기도 질환(Chronic lower respiratory diseases),호흡계통 질환
078,나머지 호흡계통 질환,호흡계통 질환
079,소화계통의 질환,소화계통 질환
080,위 및 십이지장궤양(Gastric and duodenal ulcer),소화계통 질환
081,간 질환(Diseases of the liver),소화계통 질환
082,나머지 소화계통 질환,소화계통 질환
083,피부 및 피하조직의 질환,기타 신체계통 질환
084,근골격계통 및 결합조직의 질환,기타 신체계통 질환
085,비뇨생식계통의 질환,기타 신체계통 질환
086,사구체 질환 및 세뇨관-간질 질환,기타 신체계통 질환
087,나머지 비뇨생식계통 질환,기타 신체계통 질환
088,"임신, 출산 및 산후기","임신, 출산 및 산후기"
089,유산된 임신(Pregnancy with abortive outcome),"임신, 출산 및 산후기"
090,기타 직접산과적 사망(Other direct obstetric deaths),"임신, 출산 및 산후기"
091,간접산과적 사망(Indirect obstetric deaths),"임신, 출산 및 산후기"
092,"나머지 임신, 출산 및 산후기","임신, 출산 및 산후기"
093,출생전후기에 기원한 특정 병태,출생전후기 및 선천성
094,"선천 기형, 변형 및 염색체이상",출생전후기 및 선천성
095,"달리 분류되지 않은 증상, 징후와 임상 및 검사의 이상 소견",출생전후기 및 선천성
096,사망의 외인 (External causes of mortality),외인 (외부 원인)
097,운수사고(Transport accidents),외인 (외부 원인)
098,낙상(추락)(Falls),외인 (외부 원인)
099,불의의 익사 및 익수,외인 (외부 원인)
100,"연기, 불 및 불꽃에 노출",외인 (외부 원인)
101,유독성 물질에 의한 불의의 중독 및 노출,외인 (외부 원인)
102,고의적 자해(자살) (Intentional self-harm),외인 (외부 원인)
103,가해(타살) (Assault),외인 (외부 원인)
104,모든 기타 외인(All other external causes),외인 (외부 원인)
